Timestamp,Source_IP,Destination_IP,Port,Request_Type,Protocol,Payload_Size,User_Agent,Status,Intrusion,Scan_Type
2025-06-06 06:04:08,192.168.54.167,220.159.139.17,167,SSH,ICMP,2954.0,Mozilla/5.0,Success,0,Normal
2025-06-04 15:20:59,192.168.193.254,201.83.205.167,80,FTP,UDP,206.0,Wget/1.20.3,Success,0,Normal
2025-06-03 07:23:49,192.168.91.17,211.0.177.164,21,SSH,ICMP,977.0,nmap/7.80,Success,0,Normal
2025-06-03 11:35:42,192.168.108.75,187.49.21.67,22,HTTP,TCP,521.0,curl/7.68.0,Success,0,Normal
2025-06-05 06:09:02,192.168.245.254,189.62.16.12,53,Telnet,TCP,251.0,Wget/1.20.3,Success,0,Normal
2025-06-02 00:22:34,192.168.95.59,195.140.52.90,53,SSH,ICMP,367.0,python-requests/2.25.1,Success,0,Normal
2025-06-06 20:59:31,192.168.212.235,160.140.49.168,80,HTTPS,TCP,1705.0,Wget/1.20.3,Success,0,Normal
2025-06-04 17:15:34,192.168.222.165,132.149.138.89,21,SMTP,UDP,1417.0,Nikto/2.1.6,Success,0,Normal
2025-06-04 00:28:51,192.168.119.170,139.74.231.32,53,FTP,UDP,472.0,Wget/1.20.3,Success,0,Normal
2025-06-06 12:04:51,192.168.201.152,142.219.92.107,80,Telnet,ICMP,2832.0,Mozilla/5.0,Success,0,Normal
2025-06-05 08:20:06,192.168.148.246,60.30.204.197,53,SSH,UDP,1566.0,Mozilla/5.0,Success,0,Normal
2025-06-02 00:02:55,192.168.100.69,34.45.217.29,80,DNS,TCP,1732.0,Wget/1.20.3,Success,0,Normal
2025-06-04 03:03:25,192.168.123.184,20.0.219.226,80,SSH,TCP,2718.0,Wget/1.20.3,Success,0,Normal
2025-06-04 13:17:04,192.168.200.44,218.8.143.189,167,HTTPS,ICMP,1635.0,curl/7.68.0,Success,0,Normal
2025-06-03 15:47:05,200.87.146.138,191.36.197.196,135,Telnet,ICMP,1121.0,Nikto/2.1.6,Failure,1,BotAttack
2025-06-04 01:25:20,192.168.178.117,188.155.80.50,167,DNS,TCP,1275.0,Nikto/2.1.6,Success,0,Normal
2025-06-05 07:09:21,192.168.110.154,188.8.87.235,22,HTTPS,TCP,1675.0,Mozilla/5.0,Success,0,Normal
2025-06-02 07:39:51,192.168.203.65,1.61.35.0,80,SSH,ICMP,311.0,Mozilla/5.0,Success,0,Normal
2025-06-04 12:09:35,192.168.12.102,80.35.222.43,21,FTP,TCP,2506.0,python-requests/2.25.1,Success,0,Normal
2025-06-03 13:23:59,192.168.207.5,151.218.32.103,80,HTTPS,TCP,1699.0,python-requests/2.25.1,Success,0,Normal
2025-06-01 12:52:43,192.168.209.116,194.149.213.123,25,HTTP,ICMP,2455.0,Wget/1.20.3,Success,0,Normal
2025-06-01 16:06:11,192.168.31.229,14.222.124.184,21,SSH,UDP,928.0,Nikto/2.1.6,Success,0,Normal
2025-06-01 08:36:30,192.168.139.10,130.109.219.21,80,SSH,UDP,810.0,Wget/1.20.3,Success,0,Normal
2025-06-05 09:13:07,192.168.213.164,128.156.204.199,53,HTTPS,UDP,694.0,python-requests/2.25.1,Success,0,Normal
2025-06-05 17:20:51,192.168.151.227,160.101.19.194,21,SMTP,TCP,2813.0,curl/7.68.0,Success,0,Normal
2025-06-03 08:30:34,192.168.232.170,160.90.88.110,80,SSH,TCP,1188.0,Nikto/2.1.6,Success,0,Normal
2025-06-02 21:28:33,192.168.167.179,192.24.189.200,167,HTTPS,UDP,2524.0,Nikto/2.1.6,Success,0,Normal
2025-06-05 08:52:54,192.168.144.243,25.215.208.255,25,HTTPS,UDP,435.0,python-requests/2.25.1,Success,0,Normal
2025-06-04 08:16:36,192.168.39.206,145.46.105.131,25,SSH,TCP,2626.0,Mozilla/5.0,Success,0,Normal
2025-06-05 23:29:04,192.168.18.187,219.123.162.175,167,HTTPS,ICMP,2484.0,curl/7.68.0,Success,0,Normal
2025-06-03 00:47:21,3.222.94.132,114.115.29.125,167,SMTP,ICMP,4372.0,python-requests/2.25.1,Failure,1,BotAttack
2025-06-06 10:15:39,192.168.45.154,126.12.203.136,53,HTTP,TCP,1850.0,python-requests/2.25.1,Success,0,Normal
2025-06-04 03:41:15,192.168.254.127,159.80.167.104,25,DNS,TCP,1389.0,curl/7.68.0,Failure,0,Normal
2025-06-06 20:40:38,192.168.127.73,103.6.12.71,25,HTTPS,UDP,1267.0,python-requests/2.25.1,Success,0,Normal
2025-06-06 00:45:07,192.168.212.19,206.211.160.87,167,FTP,ICMP,301.0,python-requests/2.25.1,Success,0,Normal
2025-06-03 00:11:57,192.168.30.165,205.236.255.68,167,HTTP,TCP,1271.0,python-requests/2.25.1,Success,0,Normal
2025-06-03 12:21:55,192.168.188.47,216.79.28.56,167,FTP,UDP,284.0,nmap/7.80,Success,0,Normal
2025-06-04 10:36:55,192.168.34.147,99.119.30.10,167,SSH,TCP,1389.0,python-requests/2.25.1,Success,0,Normal
2025-06-03 03:57:48,192.168.225.80,15.4.56.149,80,HTTP,UDP,737.0,curl/7.68.0,Success,0,Normal
2025-06-05 20:20:18,192.168.216.29,203.96.8.137,21,DNS,TCP,1778.0,nmap/7.80,Success,0,Normal
2025-06-03 20:46:17,192.168.59.106,199.87.98.188,25,HTTP,ICMP,2308.0,nmap/7.80,Success,0,Normal
2025-06-06 15:21:46,192.168.16.170,141.214.186.144,22,SMTP,TCP,286.0,Nikto/2.1.6,Success,0,Normal
