Source_IP,Destination_IP,Port,Payload_Size,Intrusion,Hour,Minute,Day,Weekday,Request_Type_FTP,Request_Type_HTTP,Request_Type_HTTPS,Request_Type_SMTP,Request_Type_SSH,Request_Type_Telnet,Protocol_TCP,Protocol_UDP,User_Agent_Nikto/2.1.6,User_Agent_Wget/1.20.3,User_Agent_curl/7.68.0,User_Agent_nmap/7.80,User_Agent_python-requests/2.25.1,Status_Success,Scan_Type_Normal,Scan_Type_PortScan
23662783,83989990,167,2954.0,0,6,4,6,4,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False
68429848,38936310,80,206.0,0,15,20,4,2,True,False,False,False,False,False,False,True,False,True,False,False,False,True,True,False
34256933,9068034,21,977.0,0,7,23,3,1,False,False,False,False,True,False,False,False,False,False,False,True,False,True,True,False
38582138,47389783,22,521.0,0,11,35,3,1,False,True,False,False,False,False,True,False,False,False,True,False,False,True,True,False
90073913,63106198,53,251.0,0,6,9,5,3,False,False,False,False,False,True,True,False,False,True,False,False,False,True,True,False
31996291,50558552,53,367.0,0,0,22,2,0,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True,False
15006915,23404637,80,1705.0,0,20,59,6,4,False,False,True,False,False,False,True,False,False,True,False,False,False,True,True,False
70925455,23321584,21,1417.0,0,17,15,4,2,False,False,False,True,False,False,False,True,True,False,False,False,False,True,True,False
62945914,79398922,53,472.0,0,0,28,4,2,True,False,False,False,False,False,False,True,False,True,False,False,False,True,True,False
47805587,6041103,80,2832.0,0,12,4,6,4,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False
78342813,10480405,53,1566.0,0,8,20,5,3,False,False,False,False,True,False,False,True,False,False,False,False,False,True,True,False
69937433,80871845,80,1732.0,0,0,2,2,0,False,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False
49398948,74827805,80,2718.0,0,3,3,4,2,False,False,False,False,True,False,True,False,False,True,False,False,False,True,True,False
5832705,62441730,167,1635.0,0,13,17,4,2,False,False,True,False,False,False,False,False,False,False,True,False,False,True,True,False
82924718,69447063,135,1121.0,1,15,47,3,1,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
11704543,3754983,167,1275.0,0,1,25,4,2,False,False,False,False,False,False,True,False,True,False,False,False,False,True,True,False
36168208,28604396,22,1675.0,0,7,9,5,3,False,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False
21757758,82713093,80,311.0,0,7,39,2,0,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False
52021768,45229740,21,2506.0,0,12,9,4,2,True,False,False,False,False,False,True,False,False,False,False,False,True,True,True,False
72585641,18104402,80,1699.0,0,13,23,3,1,False,False,True,False,False,False,True,False,False,False,False,False,True,True,True,False
19687271,8157931,25,2455.0,0,12,52,1,6,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False
96505482,40280732,21,928.0,0,16,6,1,6,False,False,False,False,True,False,False,True,True,False,False,False,False,True,True,False
19501644,61627237,80,810.0,0,8,36,1,6,False,False,False,False,True,False,False,True,False,True,False,False,False,True,True,False
2606097,81259693,53,694.0,0,9,13,5,3,False,False,True,False,False,False,False,True,False,False,False,False,True,True,True,False
73071250,42152577,21,2813.0,0,17,20,5,3,False,False,False,True,False,False,True,False,False,False,True,False,False,True,True,False
66404358,99499773,80,1188.0,0,8,30,3,1,False,False,False,False,True,False,True,False,True,False,False,False,False,True,True,False
47055006,71674826,167,2524.0,0,21,28,2,0,False,False,True,False,False,False,False,True,True,False,False,False,False,True,True,False
41943213,23278491,25,435.0,0,8,52,5,3,False,False,True,False,False,False,False,True,False,False,False,False,True,True,True,False
94589416,63106948,25,2626.0,0,8,16,4,2,False,False,False,False,True,False,True,False,False,False,False,False,False,True,True,False
28293894,39769954,167,2484.0,0,23,29,5,3,False,False,True,False,False,False,False,False,False,False,True,False,False,True,True,False
62811465,12765141,167,4372.0,1,0,47,3,1,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
27194625,31378074,53,1850.0,0,10,15,6,4,False,True,False,False,False,False,True,False,False,False,False,False,True,True,True,False
38528561,19230967,25,1389.0,0,3,41,4,2,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
57863257,57770296,25,1267.0,0,20,40,6,4,False,False,True,False,False,False,False,True,False,False,False,False,True,True,True,False
11902491,14313069,167,301.0,0,0,45,6,4,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False
8993923,29388492,167,1271.0,0,0,11,3,1,False,True,False,False,False,False,True,False,False,False,False,False,True,True,True,False
28159497,50932760,167,284.0,0,12,21,3,1,True,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False
84145170,94985,167,1389.0,0,10,36,4,2,False,False,False,False,True,False,True,False,False,False,False,False,True,True,True,False
54780919,23635526,80,737.0,0,3,57,3,1,False,True,False,False,False,False,False,True,False,False,True,False,False,True,True,False
92360161,9125351,21,1778.0,0,20,20,5,3,False,False,False,False,False,False,True,False,False,False,False,True,False,True,True,False
7988560,88502775,25,2308.0,0,20,46,3,1,False,True,False,False,False,False,False,False,False,False,False,True,False,True,True,False
21611670,3494272,22,286.0,0,15,21,6,4,False,False,False,True,False,False,True,False,True,False,False,False,False,True,True,False
81221346,68333433,21,1781.0,0,1,58,1,6,True,False,False,False,False,False,False,True,False,False,False,False,True,True,True,False
60578964,33774784,21,1916.0,0,2,50,1,6,False,False,False,False,True,False,True,False,False,False,False,False,True,True,True,False
78548668,78395965,53,237.0,0,14,46,3,1,False,False,False,False,False,True,False,True,False,False,False,False,True,True,True,False
2851176,8234255,21,372.0,0,19,56,1,6,False,False,False,False,True,False,False,True,False,False,False,True,False,True,True,False
14396751,21870335,22,1291.0,0,4,27,2,0,False,False,False,False,True,False,False,True,False,False,False,True,False,True,True,False
14374771,53599398,53,2192.0,0,6,49,1,6,False,False,False,True,False,False,False,True,False,False,True,False,False,True,True,False
38847234,36145834,22,2868.0,0,3,58,6,4,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
45647550,62957413,53,1898.0,0,10,21,2,0,False,False,False,False,True,False,True,False,False,False,False,False,False,True,True,False
2667932,51104997,80,428.0,0,4,59,5,3,True,False,False,False,False,False,True,False,True,False,False,False,False,True,True,False
52852041,12645229,167,353.0,0,6,57,3,1,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False
86707184,59750738,80,2883.0,0,0,43,2,0,False,False,False,False,True,False,False,True,True,False,False,False,False,True,True,False
28526821,87502350,22,1066.0,0,6,14,6,4,False,False,False,False,True,False,True,False,False,True,False,False,False,True,True,False
66211256,49596601,21,2362.0,0,11,41,3,1,False,True,False,False,False,False,False,True,True,False,False,False,False,True,True,False
61042806,14975719,22,1093.0,0,21,2,6,4,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False
87911479,46472007,53,1637.0,0,15,22,6,4,False,False,True,False,False,False,False,True,False,False,False,True,False,True,True,False
39720248,72893860,23,177.0,1,15,9,4,2,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
45663462,99033853,23,3072.0,1,19,5,6,4,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False
32526054,32048041,21,271.0,0,22,58,4,2,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
54657565,77753203,80,1940.0,0,11,3,3,1,False,False,False,True,False,False,True,False,True,False,False,False,False,True,True,False
81126999,15427272,167,2770.0,0,1,39,3,1,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False
3561321,23522590,80,1521.0,0,15,4,6,4,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False
68414050,14343497,22,635.0,0,7,36,4,2,False,False,False,True,False,False,False,True,False,False,False,True,False,True,True,False
4647997,44965354,21,1538.0,0,8,54,1,6,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False
45663462,82784412,167,1182.0,1,16,29,3,1,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False
42975666,10808064,53,2007.0,0,13,25,5,3,True,False,False,False,False,False,False,True,False,False,False,False,True,True,True,False
78509920,32877533,167,2340.0,0,17,15,1,6,False,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False
69873210,2020366,22,1843.0,0,11,35,6,4,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False
86519536,68466158,80,432.0,0,23,44,1,6,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
59518068,6399483,21,799.0,0,3,13,5,3,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
